pagina,visual_name,visual_tipo,query_refs,filtros_visual,posicion
Educación,cb791f469874fcf3c837,card,_Medidas.Impacto_Indirecto_Educacion,,"x=396.0621332412841,y=97.02726958923023,z=6000"
Educación,66a7f3006f132509d6e1,card,_Medidas.GenF_Total_Participaciones,,"x=160.6517086641353,y=98.61788056610285,z=5000"
Educación,a7b4bc015e5eda91e9b9,card,_Medidas.GenF_Total_Actividades,,"x=0,y=98.61788056610285,z=2000"
Educación,b41f14860061b12260e1,slicer,Dim_Fecha.anio,"[{""Condition"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""anio""}}], ""Values"": [[{""Literal"": {""Value"": ""2024L""}}], [{""Literal"": {""Value"": ""2025L""}}], [{""Literal"": {""Value"": ""2026L""}}]]}}}]","x=0,y=221.09492578529512,z=4000"
Educación,37277ea7f8b0187572cb,slicer,Dim_Fecha.mes_nombre,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""mes_nombre""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}]]}}}}}]","x=0,y=313.35036244390744,z=3000"
Educación,9d75697414e67ff1f2d6,clusteredBarChart,Hecho_Participacion_General.bloque_educacion | _Medidas.GenF_Total_Actividades | _Medidas.GenF_Total_Participaciones,,"x=160.6517086641353,y=410.3776320331377,z=7000"
Educación,e2b0618f21f68386bebf,card,_Medidas.GenF_Edu_Instituciones_Unicas,,"x=583.9172666579395,y=96.51525068726272,z=8000"
Educación,05f3f0e2104e823216a1,columnChart,Hecho_Demografia.categoria | Hecho_Demografia.dimension | _Medidas.Total_Dem_Valor,,"x=729.8965833224244,y=410.1898154208666,z=9000"
Educación,4d74d209093ceadc1ca3,pageNavigator,,,"x=0,y=410.3776320331377,z=10000"
Educación,fd67d53cce5c9cc67ea9,lineChart,Dim_Fecha.anio | Dim_Fecha.mes_nombre | _Medidas.GenF_Total_Actividades,,"x=395.7125278177772,y=220.7786359471135,z=11000"
Educación,0924d594b434a8e69d06,slicer,Dim_Comuna.comuna_cod,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""comuna_cod""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}], [{""Literal"": {""Value"": ""99L""}}]]}}}}}]","x=160.6517086641353,y=221.09492578529512,z=12000"
Educación,0d0f33856922e488508a,card,_Medidas.GenF_Edu_Instituciones_Media,,"x=756.4382772614216,y=98.9281319544443,z=13000"
Educación,6246f0631ebcefc1e842,card,_Medidas.GenF_Edu_Instituciones_Superior,,"x=925.3399659641314,y=98.9281319544443,z=14000"
Educación,2c3ea669acf78efe6138,card,_Medidas.GenF_Edu_Instituciones_PrimeraInfancia,,"x=1101.4802984683859,y=97.72169132085351,z=15000"
Educación,1128ea736bcab895d2af,actionButton,,,"x=1096.6545359340228,y=16.890168870270976,z=17000"
Educación,75e577bbdcb7e76c9eaa,actionButton,,,"x=1185.9311428197407,y=15.683728236680192,z=16000"
Empresarial,231f81e78deca6d87862,textbox,,,"x=0,y=0,z=0"
Empresarial,14a8b8c863e03a6dc693,image,,,"x=0,y=0,z=1000"
Empresarial,e0a1f0d8d02d8997ca83,slicer,Dim_Comuna.comuna_cod,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""comuna_cod""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}], [{""Literal"": {""Value"": ""99L""}}]]}}}}}]","x=168.1012658227848,y=202.53164556962025,z=4000"
Empresarial,84c6d8b36344d1601da8,slicer,Dim_Fecha.anio,"[{""Condition"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""anio""}}], ""Values"": [[{""Literal"": {""Value"": ""2024L""}}], [{""Literal"": {""Value"": ""2025L""}}], [{""Literal"": {""Value"": ""2026L""}}]]}}}]","x=0,y=202.00759406282359,z=5000"
Empresarial,06f7d5dc05f812ff288a,slicer,Dim_Fecha.mes_nombre,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""mes_nombre""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}]]}}}}}]","x=0,y=305.82278481012656,z=3000"
Empresarial,d32e3345eb3a8689fe7a,card,_Medidas.GenF_Total_Participaciones,,"x=168.1012658227848,y=91.13924050632912,z=6000"
Empresarial,f23a515d0793e03aa52a,card,_Medidas.GenF_Total_Actividades,,"x=0,y=90.66482568173973,z=2000"
Empresarial,2c51af385dac1116c1bb,card,_Medidas.Actividades_CAM,,"x=1084.5901295981148,y=92.89592878649037,z=7000"
Empresarial,41d55dfdb1540481e40f,card,_Medidas.Actividades_Empresa,,"x=659.9230265741588,y=91.68948815289959,z=8000"
Empresarial,217343a3c7552949f793,card,_Medidas.Actividades_PlanesAyudaMutua,,"x=402.9511716193219,y=91.68948815289959,z=9000"
Empresarial,1db2cc26773b59b1073e,card,_Medidas.Actividades_PropiedadHorizontal,,"x=838.4762403455949,y=92.89592878649037,z=10000"
Empresarial,35194e799b0e987e931b,pieChart,Hecho_Participacion_General.bloque_empresarial | _Medidas.GenF_Empresarial_Participaciones,,"x=838.4762403455949,y=304.02303966487756,z=11000"
Empresarial,769bb2a854f19bc072db,pageNavigator,,,"x=0,y=421.2658227848101,z=12000"
Empresarial,c6d514c2077b89c199b7,lineChart,Dim_Fecha.anio | Dim_Fecha.mes_nombre | _Medidas.GenF_Total_Actividades,,"x=168.1012658227848,y=305.82278481012656,z=13000"
Empresarial,dcf319470f6ec368fc1a,actionButton,,,"x=1096.6545359340228,y=16.890168870270976,z=15000"
