id_actividad,fila_origen,fecha,comuna_cod,publico_empresarial,entidades_asociadas,actividad_empresarial
2978,2979,2025-10-30,10,Empresas,Comerciantes del Centro;,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
2990,2991,2025-11-04,13,Comerciantes escaleras comuna 13,"Secretaria de turismo, UdeA, terminales;","Asesoría a los sectores comercial, industrial y de servicios en GRD"
2996,2997,2025-11-05,13,Guías turísticos San Javier,Comunidad en general;Guías turísticos San Javier ;,Taller - ABC Gestión del Riesgo de Desastres
3000,3001,2025-11-05,13,Guias turisticos escleras comuna 13,"Secretaria de turismo, UdeA, terminales;","Asesoría a los sectores comercial, industrial y de servicios en GRD"
3001,3002,2025-11-05,10,Empresas,,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
3018,3019,2025-11-07,90,Prestadores de Servicios Públicos,Mesa de acueductos;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
3042,3043,2025-11-12,14,Empresas,Comités Sectoriales de Gestión del Riesgo de Desastres (COSEGRD);,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
3072,3073,2025-11-17,99,Empresas,,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
36,3219,2026-02-16,90,Sector hotelero,Red hotelera C90,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
42,3225,2026-02-26,99,Empresas,Mesa tecnica CENIT;Subdirección de Manejo,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
57,3240,2026-02-05,15,Empresas,,Asesoría general al COSEGRD
64,3247,2026-02-11,99,Empresas,Presentes Corporacion,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
81,3264,2026-02-12,14,Empresas,Subdirección de Conocimiento y Reducción del riesgo de Desastres,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
84,3267,2026-02-12,14,Empresas,Comunidad en general;Equipo social DAGRD;Empresas privadas,Asesoría general al COSEGRD
91,3274,2026-02-16,99,Empresas,Metro de Medellín,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
153,3336,2026-02-23,14,Empresas,Departamento Administrativo de Gestión del Riesgo  de Desastres;Equipo social DAGRD;Equipo técnico DAGRD;Empresas privadas;Empresas Públicas de Medellín;Empresas sector público,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
155,3338,2026-02-26,14,Prestadores de Servicios Públicos,Equipo social DAGRD,Asesoría general al COSEGRD
160,3343,2026-02-12,99,Empresas,Actividad de formacion en Continuidad de Negocio,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
185,3368,2026-02-27,99,Empresas,MINISTERIO DEL TRABAJO,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
