pagina,visual_name,visual_tipo,query_ref,agregacion,columna_excel_o_modelo,filtro_columnas,filtro_valores
Institucional,de06a9daffa3c94d6785,actionButton,,,,,
Institucional,29aeed70bc7d5843725f,actionButton,,,,,
AutoVis IA,AutoVisCard_1,card,Sheet1.AB_Sheet1_nata_Sum_3,,Sheet1.AB_Sheet1_nata_Sum_3,,
AutoVis IA,AutoVisCard_2,card,Sheet1.AB_Sheet1_Mujeres_Sum_3,,Sheet1.AB_Sheet1_Mujeres_Sum_3,,
AutoVis IA,AutoVisCard_3,card,Sheet1.AB_Sheet1_Hombres_Sum_3,,Sheet1.AB_Sheet1_Hombres_Sum_3,,
AutoVis IA,AutoVisCard_4,card,Sheet1.AB_Sheet1_Ni_os_Sum_3,,Sheet1.AB_Sheet1_Ni_os_Sum_3,,
AutoVis IA,AutoVisCard_5,card,Sheet1.AB_Sheet1_nata_Sum_3,,Sheet1.AB_Sheet1_nata_Sum_3,,
AutoVis IA,AutoVisCard_6,card,Sheet1.AB_Sheet1_nata_Sum_3,,Sheet1.AB_Sheet1_nata_Sum_3,,
AutoVis IA,AutoVisCard_1,card,Sheet1.AB_Sheet1_nata_Sum_3,,Sheet1.AB_Sheet1_nata_Sum_3,,
AutoVis IA,AutoVisCard_2,card,Sheet1.AB_Sheet1_Mujeres_Sum_3,,Sheet1.AB_Sheet1_Mujeres_Sum_3,,
AutoVis IA,AutoVisCard_3,card,Sheet1.AB_Sheet1_Hombres_Sum_3,,Sheet1.AB_Sheet1_Hombres_Sum_3,,
AutoVis IA,AutoVisCard_4,card,Sheet1.AB_Sheet1_Ni_os_Sum_3,,Sheet1.AB_Sheet1_Ni_os_Sum_3,,
AutoVis IA,AutoVisCard_5,card,Sheet1.AB_Sheet1_nata_Sum_3,,Sheet1.AB_Sheet1_nata_Sum_3,,
AutoVis IA,AutoVisCard_6,card,Sheet1.AB_Sheet1_nata_Sum_3,,Sheet1.AB_Sheet1_nata_Sum_3,,
